ID,Timestamp,User ID,User Name,User Email,Action,Entity Type,Entity ID,IP Address,Details
1194dbf2-da8a-4202-bd0a-ae9e222181da,2026-03-09T14:53:38.327Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:53:38.327Z"",""tokenId"":""efbc0e97-f2ad-4c53-b1b9-e31ebe3d73bf""}"
39a982ae-2c87-4e05-88ff-5173555533b6,2026-03-09T14:53:07.266Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:53:07.265Z"",""tokenId"":""51473590-7d6f-46e3-9af3-72a88f45d680""}"
b68f7a40-d9f5-433b-aa0a-57323789c22f,2026-03-09T14:48:10.908Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,workflow.created,workflow,5fb2887e-515f-4406-a4c9-8b71bf3a3485,,"{""name"":""سير اعتماد المرحلة 7 1773067687348"",""steps"":[{""name"":""مراجعة أولية"",""order"":0,""approverRole"":""manager""},{""name"":""اعتماد نهائي"",""order"":1,""approverRole"":""admin""}],""status"":""ACTIVE"",""createdAt"":""2026-03-09T14:48:10.907Z"",""createdBy"":""b0000000-0000-0000-0000-000000000001"",""workflowId"":""5fb2887e-515f-4406-a4c9-8b71bf3a3485""}"
a8577647-c8c6-47cd-a949-c4a17198fad3,2026-03-09T14:48:08.723Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,workflow.created,workflow,d74dfd63-aa2f-4b8b-9ea3-8b18c73052ea,,"{""name"":""سير اعتماد المرحلة 7 1773067687348"",""steps"":[{""name"":""مراجعة أولية"",""order"":0,""approverRole"":""manager""},{""name"":""اعتماد نهائي"",""order"":1,""approverRole"":""admin""}],""status"":""ACTIVE"",""createdAt"":""2026-03-09T14:48:08.721Z"",""createdBy"":""b0000000-0000-0000-0000-000000000001"",""workflowId"":""d74dfd63-aa2f-4b8b-9ea3-8b18c73052ea""}"
dc7a3f06-2204-4f65-b3af-b8523eaf0821,2026-03-09T14:39:11.172Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:39:11.171Z"",""tokenId"":""267cd9cc-3616-479e-a92a-bb084d1ecd27""}"
4be47499-73e0-45cc-89e6-101d2083f7a2,2026-03-09T14:30:52.361Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:30:52.360Z"",""tokenId"":""c8a984a2-abc5-4877-92cc-f54715318ecd""}"
b439bff3-675c-4277-92b5-d374a14a97e5,2026-03-09T14:26:04.073Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:26:04.072Z"",""tokenId"":""8e47bc05-c62c-4ef8-93ec-febc307cd1a8""}"
f5bd9beb-1380-4d22-b4e0-380cfad02d21,2026-03-09T14:17:45.394Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:17:45.393Z"",""tokenId"":""9da0d94a-fb1c-47a5-bd71-01328a96c2f9""}"
7514b2a9-0e9a-45cd-befc-4433b09414ac,2026-03-09T14:10:13.905Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:10:13.905Z"",""tokenId"":""47910371-bdea-4215-aff9-2567fe6f5ad8""}"
765bb0d7-4074-429c-94a7-b555d63723b4,2026-03-09T14:07:41.990Z,b0000000-0000-0000-0000-000000000001,Admin User,admin@rasid.demo,user.login,user,b0000000-0000-0000-0000-000000000001,,"{""email"":""admin@rasid.demo"",""loginAt"":""2026-03-09T14:07:41.989Z"",""tokenId"":""a74f0ba3-52d6-4d71-bdbf-d9f4b5cf17f5""}"
